Geographic Subdivision,Grade,Year,Student Category,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject
BRONX,All Grades,2023,Asian,3208,460,15.9,21.5,35.5,27.1,62.6,Math
BRONX,All Grades,2023,Black,14228,439,40.7,29.3,23.8,6.2,30.0,Math
BRONX,All Grades,2023,Hispanic,42080,440,39.0,29.5,25.1,6.5,31.5,Math
BRONX,All Grades,2023,Multi-Racial,334,451,26.9,23.1,34.4,15.6,50.0,Math
BRONX,All Grades,2023,Native American,609,445,33.5,27.4,29.9,9.2,39.1,Math
BRONX,All Grades,2023,White,2784,454,22.4,23.5,34.5,19.5,54.0,Math
BRONX,All Grades,2022,Asian,3362,602,25.9,24.7,23.4,26.0,49.4,Math
BRONX,All Grades,2022,Black,14970,585,59.0,23.7,12.0,5.3,17.3,Math
BRONX,All Grades,2022,Hispanic,43067,586,56.3,25.3,12.6,5.8,18.4,Math
BRONX,All Grades,2022,Multi-Racial,329,595,37.4,26.7,20.1,15.8,35.9,Math
BRONX,All Grades,2022,Native American,640,590,48.9,23.9,17.3,9.8,27.2,Math
BRONX,All Grades,2022,White,2900,596,36.1,24.5,20.5,18.9,39.4,Math
BRONX,All Grades,2019,Asian,3913,607,18.9,21.9,24.6,34.6,59.2,Math
BRONX,All Grades,2019,Black,21281,591,46.8,27.4,17.0,8.7,25.8,Math
BRONX,All Grades,2019,Hispanic,54976,592,43.8,28.0,18.1,10.1,28.2,Math
BRONX,All Grades,2019,Multi-Racial,325,598,31.4,23.7,28.9,16.0,44.9,Math
BRONX,All Grades,2019,Native American,764,597,36.4,26.2,20.0,17.4,37.4,Math
BRONX,All Grades,2019,White,3871,601,26.1,25.1,25.2,23.6,48.8,Math
BRONX,All Grades,2018,Asian,3929,605,21.4,23.0,26.2,29.4,55.6,Math
BRONX,All Grades,2018,Black,22084,590,49.7,27.6,15.3,7.4,22.7,Math
BRONX,All Grades,2018,Hispanic,55253,591,47.6,27.7,16.5,8.2,24.7,Math
BRONX,All Grades,2018,Multi-Racial,306,597,33.3,25.8,25.2,15.7,40.8,Math
BRONX,All Grades,2018,Native American,819,594,41.6,26.5,19.8,12.1,31.9,Math
BRONX,All Grades,2018,White,3987,599,29.9,25.8,24.1,20.2,44.3,Math
BRONX,All Grades,2017,Asian,3962,314,22.7,26.4,26.5,24.4,50.9,Math
BRONX,All Grades,2017,Black,22524,284,50.5,30.8,13.3,5.5,18.8,Math
BRONX,All Grades,2017,Hispanic,55309,285,48.8,31.3,13.9,5.9,19.9,Math
BRONX,All Grades,2017,Multi-Racial,250,299,36.0,31.2,18.0,14.8,32.8,Math
BRONX,All Grades,2017,Native American,758,293,39.4,32.3,18.1,10.2,28.2,Math
BRONX,All Grades,2017,White,3732,304,28.9,32.0,22.1,17.0,39.1,Math
BRONX,All Grades,2016,Asian,3885,315,21.1,28.5,25.4,25.1,50.5,Math
BRONX,All Grades,2016,Black,23215,285,48.8,32.9,12.7,5.6,18.2,Math
BRONX,All Grades,2016,Hispanic,55401,286,47.5,33.3,13.4,5.9,19.2,Math
BRONX,All Grades,2016,Multi-Racial,232,295,38.8,34.5,14.7,12.1,26.7,Math
BRONX,All Grades,2016,Native American,670,294,40.6,33.4,15.7,10.3,26.0,Math
BRONX,All Grades,2016,White,3689,307,27.1,31.7,23.0,18.3,41.3,Math
BRONX,All Grades,2015,Asian,3869,316,19.2,29.6,25.5,25.7,51.2,Math
BRONX,All Grades,2015,Black,24051,285,49.7,33.0,12.9,4.4,17.3,Math
BRONX,All Grades,2015,Hispanic,55885,286,48.5,33.3,13.4,4.9,18.2,Math
BRONX,All Grades,2015,Multi-Racial,145,297,31.0,37.2,24.1,7.6,31.7,Math
BRONX,All Grades,2015,Native American,605,295,38.2,32.1,20.3,9.4,29.8,Math
BRONX,All Grades,2015,White,3658,306,27.1,33.1,23.8,16.0,39.8,Math
BRONX,All Grades,2014,Asian,3761,315,21.5,29.3,25.8,23.4,49.2,Math
BRONX,All Grades,2014,Black,24769,286,49.3,34.1,12.5,4.1,16.6,Math
BRONX,All Grades,2014,Hispanic,56243,286,48.4,33.8,13.3,4.5,17.8,Math
BRONX,All Grades,2014,Multi-Racial,121,294,43.8,24.0,21.5,10.7,32.2,Math
BRONX,All Grades,2014,Native American,520,294,40.0,32.7,17.5,9.8,27.3,Math
BRONX,All Grades,2014,White,3682,305,29.2,31.7,24.1,15.0,39.1,Math
BRONX,All Grades,2013,Asian,3862,312,23.2,30.7,27.0,19.2,46.2,Math
BRONX,All Grades,2013,Black,26476,282,54.3,33.2,9.9,2.6,12.5,Math
BRONX,All Grades,2013,Hispanic,58519,283,52.3,33.7,11.2,2.8,14.0,Math
BRONX,All Grades,2013,Multi-Racial,94,287,46.8,31.9,12.8,8.5,21.3,Math
BRONX,All Grades,2013,Native American,496,290,46.4,31.9,15.7,6.0,21.8,Math
BRONX,All Grades,2013,White,3780,303,29.0,36.6,22.8,11.6,34.4,Math
BROOKLYN,All Grades,2023,Asian,20250,472,8.6,13.9,34.1,43.4,77.5,Math
BROOKLYN,All Grades,2023,Black,21160,444,33.2,28.4,29.0,9.4,38.4,Math
BROOKLYN,All Grades,2023,Hispanic,26706,444,32.7,29.2,28.4,9.7,38.1,Math
BROOKLYN,All Grades,2023,Multi-Racial,1360,466,11.3,17.0,39.1,32.6,71.8,Math
BROOKLYN,All Grades,2023,Native American,699,448,30.9,25.0,30.2,13.9,44.1,Math
BROOKLYN,All Grades,2023,White,17964,463,12.3,19.0,39.5,29.2,68.7,Math
BROOKLYN,All Grades,2022,Asian,19858,611,14.2,17.7,24.1,44.0,68.1,Math
BROOKLYN,All Grades,2022,Black,22410,589,51.1,25.7,14.7,8.5,23.3,Math
BROOKLYN,All Grades,2022,Hispanic,26554,590,48.6,26.2,16.1,9.1,25.2,Math
BROOKLYN,All Grades,2022,Multi-Racial,1279,607,17.7,20.3,27.0,35.0,62.0,Math
BROOKLYN,All Grades,2022,Native American,729,592,48.3,21.0,16.6,14.1,30.7,Math
BROOKLYN,All Grades,2022,White,16809,606,19.5,22.1,26.8,31.6,58.4,Math
BROOKLYN,All Grades,2019,Asian,22537,615,10.2,15.3,23.4,51.2,74.5,Math
BROOKLYN,All Grades,2019,Black,32064,594,41.0,28.1,19.2,11.7,30.9,Math
BROOKLYN,All Grades,2019,Hispanic,33866,595,37.6,28.5,20.4,13.6,33.9,Math
BROOKLYN,All Grades,2019,Multi-Racial,1277,610,13.1,17.6,27.3,42.1,69.3,Math
BROOKLYN,All Grades,2019,Native American,808,598,33.4,26.2,21.9,18.4,40.3,Math
BROOKLYN,All Grades,2019,White,21752,610,13.5,19.3,27.3,39.9,67.2,Math
BROOKLYN,All Grades,2018,Asian,22444,614,11.6,16.5,24.4,47.5,71.9,Math
BROOKLYN,All Grades,2018,Black,33579,593,43.0,28.8,18.3,9.9,28.2,Math
BROOKLYN,All Grades,2018,Hispanic,33956,594,39.5,29.0,20.0,11.5,31.5,Math
BROOKLYN,All Grades,2018,Multi-Racial,1129,609,14.3,19.4,27.9,38.4,66.3,Math
BROOKLYN,All Grades,2018,Native American,806,596,39.6,23.1,21.6,15.8,37.3,Math
BROOKLYN,All Grades,2018,White,21502,609,15.2,20.6,27.2,37.0,64.2,Math
BROOKLYN,All Grades,2017,Asian,22330,331,11.5,20.4,26.5,41.5,68.0,Math
BROOKLYN,All Grades,2017,Black,35169,289,44.5,33.0,15.5,7.1,22.5,Math
BROOKLYN,All Grades,2017,Hispanic,34405,292,41.4,32.5,17.4,8.8,26.1,Math
BROOKLYN,All Grades,2017,Multi-Racial,963,325,15.7,21.7,26.5,36.1,62.6,Math
BROOKLYN,All Grades,2017,Native American,765,294,42.6,29.2,15.2,13.1,28.2,Math
BROOKLYN,All Grades,2017,White,21372,323,15.8,24.3,27.7,32.2,60.0,Math
BROOKLYN,All Grades,2016,Asian,21287,332,11.3,21.3,25.3,42.1,67.4,Math
BROOKLYN,All Grades,2016,Black,36955,289,43.7,34.3,14.7,7.3,22.0,Math
BROOKLYN,All Grades,2016,Hispanic,34458,292,40.1,35.1,16.2,8.5,24.7,Math
BROOKLYN,All Grades,2016,Multi-Racial,782,325,15.7,22.4,24.3,37.6,61.9,Math
BROOKLYN,All Grades,2016,Native American,727,296,38.0,34.1,16.5,11.4,27.9,Math
BROOKLYN,All Grades,2016,White,20846,323,15.1,25.4,26.5,33.0,59.5,Math
BROOKLYN,All Grades,2015,Asian,20024,330,11.3,21.9,28.1,38.7,66.8,Math
BROOKLYN,All Grades,2015,Black,39989,289,45.7,34.2,14.7,5.4,20.1,Math
BROOKLYN,All Grades,2015,Hispanic,34722,293,40.4,35.5,17.0,7.2,24.1,Math
BROOKLYN,All Grades,2015,Multi-Racial,535,322,16.6,24.5,25.8,33.1,58.9,Math
BROOKLYN,All Grades,2015,Native American,690,294,37.0,36.7,16.2,10.1,26.4,Math
BROOKLYN,All Grades,2015,White,20139,322,14.8,26.6,29.1,29.5,58.6,Math
BROOKLYN,All Grades,2014,Asian,19329,329,11.6,22.9,28.7,36.8,65.5,Math
BROOKLYN,All Grades,2014,Black,43607,288,46.1,34.6,14.1,5.1,19.2,Math
BROOKLYN,All Grades,2014,Hispanic,35304,293,40.6,35.7,17.0,6.7,23.7,Math
BROOKLYN,All Grades,2014,Multi-Racial,442,321,15.2,26.9,29.9,28.1,57.9,Math
BROOKLYN,All Grades,2014,Native American,538,294,42.2,31.4,16.4,10.0,26.4,Math
BROOKLYN,All Grades,2014,White,20043,321,14.7,27.4,29.7,28.2,57.9,Math
BROOKLYN,All Grades,2013,Asian,19715,324,13.6,26.2,29.7,30.5,60.2,Math
BROOKLYN,All Grades,2013,Black,49119,286,48.8,34.8,12.9,3.5,16.4,Math
BROOKLYN,All Grades,2013,Hispanic,36589,289,44.5,37.2,14.2,4.1,18.3,Math
BROOKLYN,All Grades,2013,Multi-Racial,297,314,21.5,29.3,25.3,23.9,49.2,Math
BROOKLYN,All Grades,2013,Native American,527,291,39.8,40.4,13.7,6.1,19.7,Math
BROOKLYN,All Grades,2013,White,20664,316,18.0,30.9,28.5,22.6,51.1,Math
MANHATTAN,All Grades,2023,Asian,4604,481,3.4,7.9,30.5,58.2,88.7,Math
MANHATTAN,All Grades,2023,Black,4445,439,41.6,27.8,23.4,7.2,30.5,Math
MANHATTAN,All Grades,2023,Hispanic,14136,443,34.3,28.2,27.7,9.8,37.5,Math
MANHATTAN,All Grades,2023,Multi-Racial,1495,476,5.6,10.8,33.9,49.7,83.6,Math
MANHATTAN,All Grades,2023,Native American,155,449,32.9,23.2,23.2,20.6,43.9,Math
MANHATTAN,All Grades,2023,White,7474,476,4.9,10.6,37.1,47.4,84.5,Math
MANHATTAN,All Grades,2022,Asian,4906,618,6.7,11.7,23.1,58.5,81.6,Math
MANHATTAN,All Grades,2022,Black,4887,585,60.5,21.5,11.6,6.5,18.0,Math
MANHATTAN,All Grades,2022,Hispanic,12880,591,46.7,26.5,16.4,10.4,26.8,Math
MANHATTAN,All Grades,2022,Multi-Racial,1418,615,8.9,12.7,25.2,53.2,78.4,Math
MANHATTAN,All Grades,2022,Native American,170,594,46.5,21.2,14.7,17.6,32.4,Math
MANHATTAN,All Grades,2022,White,7747,613,8.8,15.6,26.8,48.7,75.5,Math
MANHATTAN,All Grades,2019,Asian,6136,620,5.2,9.9,20.5,64.4,84.9,Math
MANHATTAN,All Grades,2019,Black,6813,591,46.1,27.8,16.8,9.3,26.1,Math
MANHATTAN,All Grades,2019,Hispanic,18845,596,35.9,27.7,21.7,14.7,36.4,Math
MANHATTAN,All Grades,2019,Multi-Racial,1374,618,6.1,10.6,21.5,61.7,83.3,Math
MANHATTAN,All Grades,2019,Native American,274,598,37.2,24.1,15.3,23.4,38.7,Math
MANHATTAN,All Grades,2019,White,10015,617,6.0,10.8,24.7,58.5,83.2,Math
MANHATTAN,All Grades,2018,Asian,6354,619,5.9,11.2,22.9,60.0,83.0,Math
MANHATTAN,All Grades,2018,Black,7363,590,51.0,25.4,15.4,8.2,23.6,Math
MANHATTAN,All Grades,2018,Hispanic,19531,595,39.2,28.4,19.9,12.5,32.4,Math
MANHATTAN,All Grades,2018,Multi-Racial,1298,618,6.6,11.6,24.4,57.4,81.8,Math
MANHATTAN,All Grades,2018,Native American,394,592,46.7,22.3,14.7,16.2,31.0,Math
MANHATTAN,All Grades,2018,White,10184,616,7.4,11.4,26.4,54.8,81.2,Math
MANHATTAN,All Grades,2017,Asian,6455,342,6.3,14.2,25.7,53.8,79.5,Math
MANHATTAN,All Grades,2017,Black,7365,285,50.6,29.0,14.2,6.2,20.4,Math
MANHATTAN,All Grades,2017,Hispanic,20124,293,40.4,32.5,17.2,9.9,27.1,Math
MANHATTAN,All Grades,2017,Multi-Racial,1168,341,6.6,14.6,24.9,53.9,78.9,Math
MANHATTAN,All Grades,2017,Native American,331,298,38.4,26.9,17.8,16.9,34.7,Math
MANHATTAN,All Grades,2017,White,9969,339,6.7,15.3,28.0,50.0,78.0,Math
MANHATTAN,All Grades,2016,Asian,6611,342,6.6,15.1,25.2,53.0,78.3,Math
MANHATTAN,All Grades,2016,Black,8145,285,48.8,31.8,13.1,6.2,19.3,Math
MANHATTAN,All Grades,2016,Hispanic,21822,292,40.8,34.2,16.3,8.7,25.0,Math
MANHATTAN,All Grades,2016,Multi-Racial,963,340,8.0,14.7,23.7,53.6,77.3,Math
MANHATTAN,All Grades,2016,Native American,387,302,33.3,29.7,19.1,17.8,37.0,Math
MANHATTAN,All Grades,2016,White,9837,337,7.6,16.2,26.9,49.4,76.2,Math
MANHATTAN,All Grades,2015,Asian,6587,340,6.3,15.6,28.4,49.7,78.1,Math
MANHATTAN,All Grades,2015,Black,8701,286,48.3,32.2,13.7,5.8,19.5,Math
MANHATTAN,All Grades,2015,Hispanic,22819,292,41.3,34.9,16.5,7.2,23.8,Math
MANHATTAN,All Grades,2015,Multi-Racial,766,338,7.4,15.4,27.5,49.6,77.2,Math
MANHATTAN,All Grades,2015,Native American,357,304,32.5,27.2,17.9,22.4,40.3,Math
MANHATTAN,All Grades,2015,White,9585,337,7.1,16.7,29.4,46.8,76.2,Math
MANHATTAN,All Grades,2014,Asian,6567,339,6.1,16.2,30.2,47.5,77.7,Math
MANHATTAN,All Grades,2014,Black,9470,286,48.6,32.1,13.9,5.3,19.3,Math
MANHATTAN,All Grades,2014,Hispanic,24073,292,41.5,35.4,16.7,6.3,23.0,Math
MANHATTAN,All Grades,2014,Multi-Racial,608,335,8.9,18.6,26.2,46.4,72.5,Math
MANHATTAN,All Grades,2014,Native American,328,302,35.4,25.0,20.1,19.5,39.6,Math
MANHATTAN,All Grades,2014,White,9577,334,7.9,18.0,30.7,43.4,74.1,Math
MANHATTAN,All Grades,2013,Asian,6820,335,7.0,20.0,30.9,42.2,73.0,Math
MANHATTAN,All Grades,2013,Black,10042,284,51.4,32.5,12.1,4.1,16.1,Math
MANHATTAN,All Grades,2013,Hispanic,24630,289,45.0,36.6,13.9,4.5,18.4,Math
MANHATTAN,All Grades,2013,Multi-Racial,451,329,11.5,21.7,29.7,37.0,66.7,Math
MANHATTAN,All Grades,2013,Native American,320,301,35.0,26.6,22.8,15.6,38.4,Math
MANHATTAN,All Grades,2013,White,9705,330,9.5,20.6,32.1,37.7,69.9,Math
QUEENS,All Grades,2023,Asian,27909,471,7.9,14.5,36.7,40.9,77.6,Math
QUEENS,All Grades,2023,Black,12262,443,34.0,29.4,28.4,8.2,36.6,Math
QUEENS,All Grades,2023,Hispanic,40164,444,32.2,29.9,28.8,9.1,37.8,Math
QUEENS,All Grades,2023,Multi-Racial,1385,467,11.5,16.5,34.9,37.1,72.0,Math
QUEENS,All Grades,2023,Native American,2123,454,20.7,24.7,37.7,16.9,54.6,Math
QUEENS,All Grades,2023,White,10120,463,12.1,19.5,40.6,27.7,68.3,Math
QUEENS,All Grades,2022,Asian,28753,611,13.5,18.0,25.3,43.1,68.5,Math
QUEENS,All Grades,2022,Black,12397,589,50.5,27.1,14.7,7.6,22.4,Math
QUEENS,All Grades,2022,Hispanic,39523,591,46.1,27.6,17.0,9.4,26.4,Math
QUEENS,All Grades,2022,Multi-Racial,1269,608,18.0,18.0,24.6,39.4,64.0,Math
QUEENS,All Grades,2022,Native American,2094,597,34.2,26.4,23.2,16.2,39.4,Math
QUEENS,All Grades,2022,White,10605,604,20.6,24.1,26.2,29.1,55.4,Math
QUEENS,All Grades,2019,Asian,34434,614,9.6,16.1,24.7,49.6,74.3,Math
QUEENS,All Grades,2019,Black,17399,593,40.7,29.4,19.2,10.7,29.9,Math
QUEENS,All Grades,2019,Hispanic,45257,597,32.6,29.6,22.7,15.2,37.9,Math
QUEENS,All Grades,2019,Multi-Racial,1112,610,15.5,18.2,22.4,44.0,66.4,Math
QUEENS,All Grades,2019,Native American,2165,600,28.4,25.4,24.9,21.2,46.2,Math
QUEENS,All Grades,2019,White,14194,608,15.0,20.9,28.1,36.0,64.1,Math
QUEENS,All Grades,2018,Asian,35157,613,10.5,17.1,25.8,46.6,72.4,Math
QUEENS,All Grades,2018,Black,17624,592,44.3,29.2,17.5,9.0,26.5,Math
QUEENS,All Grades,2018,Hispanic,45204,597,34.5,29.8,22.3,13.4,35.7,Math
QUEENS,All Grades,2018,Multi-Racial,1004,610,16.9,16.8,26.0,40.2,66.2,Math
QUEENS,All Grades,2018,Native American,2089,599,29.6,27.6,24.6,18.2,42.8,Math
QUEENS,All Grades,2018,White,14493,607,16.5,22.3,28.5,32.7,61.2,Math
QUEENS,All Grades,2017,Asian,36247,331,11.0,21.5,26.8,40.7,67.5,Math
QUEENS,All Grades,2017,Black,18716,288,44.9,33.7,15.1,6.4,21.4,Math
QUEENS,All Grades,2017,Hispanic,46127,298,34.2,35.0,20.0,10.7,30.8,Math
QUEENS,All Grades,2017,Multi-Racial,884,325,16.6,21.5,25.0,36.9,61.9,Math
QUEENS,All Grades,2017,Native American,2127,302,31.8,31.5,22.1,14.6,36.7,Math
QUEENS,All Grades,2017,White,14856,320,16.5,27.2,28.5,27.8,56.3,Math
QUEENS,All Grades,2016,Asian,35465,331,10.4,22.7,26.1,40.8,66.9,Math
QUEENS,All Grades,2016,Black,19785,289,43.7,35.5,14.6,6.3,20.9,Math
QUEENS,All Grades,2016,Hispanic,45519,299,31.9,37.6,19.9,10.6,30.5,Math
QUEENS,All Grades,2016,Multi-Racial,710,324,16.2,23.1,23.9,36.8,60.7,Math
QUEENS,All Grades,2016,Native American,1926,303,30.2,34.0,20.6,15.2,35.8,Math
QUEENS,All Grades,2016,White,15206,320,15.8,29.2,27.1,27.9,55.0,Math
QUEENS,All Grades,2015,Asian,34238,330,10.5,23.2,28.4,37.9,66.3,Math
QUEENS,All Grades,2015,Black,20548,290,44.4,34.6,15.0,6.0,21.0,Math
QUEENS,All Grades,2015,Hispanic,44879,300,31.9,37.6,20.9,9.6,30.5,Math
QUEENS,All Grades,2015,Multi-Racial,561,325,15.2,24.8,26.4,33.7,60.1,Math
QUEENS,All Grades,2015,Native American,1728,306,28.1,33.3,23.1,15.4,38.5,Math
QUEENS,All Grades,2015,White,15515,319,15.7,29.8,29.3,25.1,54.5,Math
QUEENS,All Grades,2014,Asian,34278,329,10.7,23.4,30.0,35.8,65.8,Math
QUEENS,All Grades,2014,Black,21714,291,43.6,35.6,15.0,5.7,20.7,Math
QUEENS,All Grades,2014,Hispanic,44680,299,32.1,37.9,21.2,8.8,30.1,Math
QUEENS,All Grades,2014,Multi-Racial,463,325,15.8,21.8,28.5,33.9,62.4,Math
QUEENS,All Grades,2014,Native American,1619,307,26.3,34.9,22.7,16.2,38.9,Math
QUEENS,All Grades,2014,White,16015,318,16.4,30.4,29.4,23.7,53.1,Math
QUEENS,All Grades,2013,Asian,36212,325,12.1,27.4,29.8,30.7,60.5,Math
QUEENS,All Grades,2013,Black,23600,287,47.9,36.0,12.5,3.7,16.1,Math
QUEENS,All Grades,2013,Hispanic,44760,296,35.4,39.7,18.3,6.6,24.9,Math
QUEENS,All Grades,2013,Multi-Racial,361,322,15.8,25.8,30.5,28.0,58.4,Math
QUEENS,All Grades,2013,Native American,1138,300,32.8,35.3,21.4,10.5,31.9,Math
QUEENS,All Grades,2013,White,17027,315,18.2,33.8,28.5,19.4,47.9,Math
STATEN ISLAND,All Grades,2023,Asian,3775,472,6.2,13.6,38.5,41.7,80.3,Math
STATEN ISLAND,All Grades,2023,Black,2250,437,45.4,25.2,23.1,6.4,29.4,Math
STATEN ISLAND,All Grades,2023,Hispanic,6265,444,31.7,28.9,29.7,9.7,39.4,Math
STATEN ISLAND,All Grades,2023,Multi-Racial,442,454,22.2,21.9,37.1,18.8,55.9,Math
STATEN ISLAND,All Grades,2023,Native American,110,448,30.9,22.7,30.9,15.5,46.4,Math
STATEN ISLAND,All Grades,2023,White,8731,463,11.1,19.6,42.3,27.1,69.3,Math
STATEN ISLAND,All Grades,2022,Asian,3364,611,12.4,18.7,27.2,41.7,68.9,Math
STATEN ISLAND,All Grades,2022,Black,2485,585,59.2,22.6,12.5,5.8,18.2,Math
STATEN ISLAND,All Grades,2022,Hispanic,6505,590,47.4,28.0,16.0,8.6,24.6,Math
STATEN ISLAND,All Grades,2022,Multi-Racial,423,597,33.8,23.2,21.7,21.3,43.0,Math
STATEN ISLAND,All Grades,2022,Native American,93,592,44.1,21.5,21.5,12.9,34.4,Math
STATEN ISLAND,All Grades,2022,White,8729,604,19.7,25.9,27.4,27.0,54.5,Math
STATEN ISLAND,All Grades,2019,Asian,2751,613,9.1,16.4,26.1,48.5,74.5,Math
STATEN ISLAND,All Grades,2019,Black,2999,590,49.0,27.7,15.0,8.3,23.3,Math
STATEN ISLAND,All Grades,2019,Hispanic,7390,595,37.0,29.0,21.0,13.0,34.0,Math
STATEN ISLAND,All Grades,2019,Multi-Racial,389,602,24.2,22.9,28.3,24.7,53.0,Math
STATEN ISLAND,All Grades,2019,Native American,104,600,26.0,26.9,23.1,24.0,47.1,Math
STATEN ISLAND,All Grades,2019,White,11458,607,15.8,22.9,29.3,32.0,61.3,Math
STATEN ISLAND,All Grades,2018,Asian,2477,613,9.9,16.9,27.5,45.7,73.2,Math
STATEN ISLAND,All Grades,2018,Black,3135,589,50.9,27.7,14.6,6.8,21.4,Math
STATEN ISLAND,All Grades,2018,Hispanic,7315,594,39.4,29.0,20.6,11.0,31.6,Math
STATEN ISLAND,All Grades,2018,Multi-Racial,373,602,24.4,24.9,27.9,22.8,50.7,Math
STATEN ISLAND,All Grades,2018,Native American,112,597,36.6,25.9,18.8,18.8,37.5,Math
STATEN ISLAND,All Grades,2018,White,11833,606,17.5,24.5,29.0,29.0,58.0,Math
STATEN ISLAND,All Grades,2017,Asian,2202,330,11.3,19.8,30.6,38.4,69.0,Math
STATEN ISLAND,All Grades,2017,Black,3161,282,51.6,31.2,12.5,4.7,17.2,Math
STATEN ISLAND,All Grades,2017,Hispanic,7099,293,39.7,33.7,18.2,8.5,26.6,Math
STATEN ISLAND,All Grades,2017,Multi-Racial,308,309,25.6,30.2,22.7,21.4,44.2,Math
STATEN ISLAND,All Grades,2017,Native American,112,298,34.8,30.4,16.1,18.8,34.8,Math
STATEN ISLAND,All Grades,2017,White,12169,317,17.5,30.4,29.1,23.1,52.2,Math
STATEN ISLAND,All Grades,2016,Asian,1992,330,10.3,21.8,28.9,39.0,67.9,Math
STATEN ISLAND,All Grades,2016,Black,3138,283,52.2,31.6,11.7,4.5,16.2,Math
STATEN ISLAND,All Grades,2016,Hispanic,6861,292,39.7,36.0,16.2,8.1,24.3,Math
STATEN ISLAND,All Grades,2016,Multi-Racial,251,307,25.5,28.7,25.1,20.7,45.8,Math
STATEN ISLAND,All Grades,2016,Native American,110,309,24.5,36.4,19.1,20.0,39.1,Math
STATEN ISLAND,All Grades,2016,White,12455,316,17.0,32.5,27.6,22.9,50.5,Math
STATEN ISLAND,All Grades,2015,Asian,2018,330,9.1,23.0,30.5,37.4,67.9,Math
STATEN ISLAND,All Grades,2015,Black,3170,285,49.8,33.4,12.7,4.0,16.8,Math
STATEN ISLAND,All Grades,2015,Hispanic,6650,293,39.8,36.1,16.9,7.1,24.1,Math
STATEN ISLAND,All Grades,2015,Multi-Racial,193,305,27.5,35.2,20.2,17.1,37.3,Math
STATEN ISLAND,All Grades,2015,Native American,94,306,25.5,36.2,23.4,14.9,38.3,Math
STATEN ISLAND,All Grades,2015,White,12796,315,17.5,34.4,28.3,19.9,48.1,Math
STATEN ISLAND,All Grades,2014,Asian,2011,330,9.2,21.4,34.5,34.8,69.3,Math
STATEN ISLAND,All Grades,2014,Black,3219,285,50.6,32.5,12.8,4.1,16.9,Math
STATEN ISLAND,All Grades,2014,Hispanic,6633,293,40.0,36.4,17.3,6.3,23.6,Math
STATEN ISLAND,All Grades,2014,Multi-Racial,151,306,27.8,27.8,29.8,14.6,44.4,Math
STATEN ISLAND,All Grades,2014,Native American,108,304,27.8,36.1,22.2,13.9,36.1,Math
STATEN ISLAND,All Grades,2014,White,13494,315,16.8,34.4,29.8,19.0,48.7,Math
STATEN ISLAND,All Grades,2013,Asian,2146,325,11.4,26.7,33.0,28.8,61.8,Math
STATEN ISLAND,All Grades,2013,Black,3567,280,56.8,30.7,10.0,2.6,12.5,Math
STATEN ISLAND,All Grades,2013,Hispanic,6593,289,43.9,37.6,14.3,4.2,18.5,Math
STATEN ISLAND,All Grades,2013,Multi-Racial,110,303,27.3,37.3,20.9,14.5,35.5,Math
STATEN ISLAND,All Grades,2013,Native American,117,300,30.8,38.5,23.1,7.7,30.8,Math
STATEN ISLAND,All Grades,2013,White,14073,311,19.1,39.0,27.6,14.3,41.9,Math
