Geographic Subdivision,Student Category,Performance Level,Percentage
STATEN ISLAND,Native American,Pct Level 1,30.8
STATEN ISLAND,White,Pct Level 1,19.1
BRONX,Asian,Pct Level 2,22.7
BRONX,Black,Pct Level 2,30.9
BRONX,Hispanic,Pct Level 2,31.1
BRONX,Multi-Racial,Pct Level 2,21.3
BRONX,Native American,Pct Level 2,28.7
BRONX,White,Pct Level 2,27.1
BRONX,Asian,Pct Level 2,26.1
BRONX,Black,Pct Level 2,33.9
BRONX,Hispanic,Pct Level 2,33.8
BRONX,Multi-Racial,Pct Level 2,29.2
BRONX,Native American,Pct Level 2,33.1
BRONX,White,Pct Level 2,29.9
BRONX,Asian,Pct Level 2,24.7
BRONX,Black,Pct Level 2,33.1
BRONX,Hispanic,Pct Level 2,32.6
BRONX,Multi-Racial,Pct Level 2,30.9
BRONX,Native American,Pct Level 2,29.8
BRONX,White,Pct Level 2,27.6
BRONX,Asian,Pct Level 2,24.5
BRONX,Black,Pct Level 2,35.8
BRONX,Hispanic,Pct Level 2,34.7
BRONX,Multi-Racial,Pct Level 2,32.9
BRONX,Native American,Pct Level 2,34.9
BRONX,White,Pct Level 2,28.8
BRONX,Asian,Pct Level 2,30.3
BRONX,Black,Pct Level 2,38.7
BRONX,Hispanic,Pct Level 2,37.5
BRONX,Multi-Racial,Pct Level 2,33.7
BRONX,Native American,Pct Level 2,39.9
BRONX,White,Pct Level 2,33.9
BRONX,Asian,Pct Level 2,32.6
BRONX,Black,Pct Level 2,39.6
BRONX,Hispanic,Pct Level 2,38.4
BRONX,Multi-Racial,Pct Level 2,36.2
BRONX,Native American,Pct Level 2,39.9
BRONX,White,Pct Level 2,34.5
BRONX,Asian,Pct Level 2,37.6
BRONX,Black,Pct Level 2,37.1
BRONX,Hispanic,Pct Level 2,37.1
BRONX,Multi-Racial,Pct Level 2,41.4
BRONX,Native American,Pct Level 2,39.0
BRONX,White,Pct Level 2,37.2
BRONX,Asian,Pct Level 2,37.1
BRONX,Black,Pct Level 2,38.0
BRONX,Hispanic,Pct Level 2,37.0
BRONX,Multi-Racial,Pct Level 2,36.9
BRONX,Native American,Pct Level 2,37.3
BRONX,White,Pct Level 2,38.7
BRONX,Asian,Pct Level 2,36.8
BRONX,Black,Pct Level 2,36.7
BRONX,Hispanic,Pct Level 2,36.2
BRONX,Multi-Racial,Pct Level 2,25.6
BRONX,Native American,Pct Level 2,39.5
BRONX,White,Pct Level 2,37.7
BROOKLYN,Asian,Pct Level 2,18.1
BROOKLYN,Black,Pct Level 2,29.7
BROOKLYN,Hispanic,Pct Level 2,29.9
BROOKLYN,Multi-Racial,Pct Level 2,17.0
BROOKLYN,Native American,Pct Level 2,25.5
BROOKLYN,White,Pct Level 2,19.2
BROOKLYN,Asian,Pct Level 2,20.7
BROOKLYN,Black,Pct Level 2,34.0
BROOKLYN,Hispanic,Pct Level 2,33.3
BROOKLYN,Multi-Racial,Pct Level 2,17.9
BROOKLYN,Native American,Pct Level 2,33.3
BROOKLYN,White,Pct Level 2,22.3
BROOKLYN,Asian,Pct Level 2,21.0
BROOKLYN,Black,Pct Level 2,32.2
BROOKLYN,Hispanic,Pct Level 2,32.6
BROOKLYN,Multi-Racial,Pct Level 2,18.3
BROOKLYN,Native American,Pct Level 2,31.6
BROOKLYN,White,Pct Level 2,20.3
BROOKLYN,Asian,Pct Level 2,21.9
BROOKLYN,Black,Pct Level 2,34.9
BROOKLYN,Hispanic,Pct Level 2,34.5
BROOKLYN,Multi-Racial,Pct Level 2,20.0
BROOKLYN,Native American,Pct Level 2,33.5
BROOKLYN,White,Pct Level 2,21.6
BROOKLYN,Asian,Pct Level 2,26.6
BROOKLYN,Black,Pct Level 2,38.4
BROOKLYN,Hispanic,Pct Level 2,37.4
BROOKLYN,Multi-Racial,Pct Level 2,23.2
BROOKLYN,Native American,Pct Level 2,36.7
BROOKLYN,White,Pct Level 2,25.3
BROOKLYN,Asian,Pct Level 2,28.6
BROOKLYN,Black,Pct Level 2,39.5
BROOKLYN,Hispanic,Pct Level 2,38.4
BROOKLYN,Multi-Racial,Pct Level 2,23.6
BROOKLYN,Native American,Pct Level 2,35.2
BROOKLYN,White,Pct Level 2,26.2
BROOKLYN,Asian,Pct Level 2,30.3
BROOKLYN,Black,Pct Level 2,38.8
BROOKLYN,Hispanic,Pct Level 2,39.0
BROOKLYN,Multi-Racial,Pct Level 2,26.0
BROOKLYN,Native American,Pct Level 2,35.5
BROOKLYN,White,Pct Level 2,30.9
BROOKLYN,Asian,Pct Level 2,32.1
BROOKLYN,Black,Pct Level 2,39.5
BROOKLYN,Hispanic,Pct Level 2,39.6
BROOKLYN,Multi-Racial,Pct Level 2,25.0
BROOKLYN,Native American,Pct Level 2,40.1
BROOKLYN,White,Pct Level 2,31.5
BROOKLYN,Asian,Pct Level 2,33.9
BROOKLYN,Black,Pct Level 2,38.9
BROOKLYN,Hispanic,Pct Level 2,38.7
BROOKLYN,Multi-Racial,Pct Level 2,30.6
BROOKLYN,Native American,Pct Level 2,37.2
BROOKLYN,White,Pct Level 2,33.0
MANHATTAN,Asian,Pct Level 2,11.4
MANHATTAN,Black,Pct Level 2,30.6
MANHATTAN,Hispanic,Pct Level 2,29.3
MANHATTAN,Multi-Racial,Pct Level 2,9.9
MANHATTAN,Native American,Pct Level 2,24.7
MANHATTAN,White,Pct Level 2,10.3
MANHATTAN,Asian,Pct Level 2,13.9
MANHATTAN,Black,Pct Level 2,34.3
MANHATTAN,Hispanic,Pct Level 2,33.5
MANHATTAN,Multi-Racial,Pct Level 2,13.1
MANHATTAN,Native American,Pct Level 2,28.2
MANHATTAN,White,Pct Level 2,13.4
MANHATTAN,Asian,Pct Level 2,13.9
MANHATTAN,Black,Pct Level 2,33.7
MANHATTAN,Hispanic,Pct Level 2,31.9
MANHATTAN,Multi-Racial,Pct Level 2,11.5
MANHATTAN,Native American,Pct Level 2,26.2
MANHATTAN,White,Pct Level 2,11.7
MANHATTAN,Asian,Pct Level 2,15.9
MANHATTAN,Black,Pct Level 2,35.1
MANHATTAN,Hispanic,Pct Level 2,34.2
MANHATTAN,Multi-Racial,Pct Level 2,12.7
MANHATTAN,Native American,Pct Level 2,24.0
MANHATTAN,White,Pct Level 2,12.0
MANHATTAN,Asian,Pct Level 2,20.7
MANHATTAN,Black,Pct Level 2,37.7
MANHATTAN,Hispanic,Pct Level 2,37.8
MANHATTAN,Multi-Racial,Pct Level 2,16.1
MANHATTAN,Native American,Pct Level 2,31.0
MANHATTAN,White,Pct Level 2,15.6
MANHATTAN,Asian,Pct Level 2,22.8
MANHATTAN,Black,Pct Level 2,38.0
MANHATTAN,Hispanic,Pct Level 2,38.0
MANHATTAN,Multi-Racial,Pct Level 2,15.4
MANHATTAN,Native American,Pct Level 2,31.2
MANHATTAN,White,Pct Level 2,17.1
MANHATTAN,Asian,Pct Level 2,26.6
MANHATTAN,Black,Pct Level 2,37.5
MANHATTAN,Hispanic,Pct Level 2,38.5
MANHATTAN,Multi-Racial,Pct Level 2,23.8
MANHATTAN,Native American,Pct Level 2,31.8
MANHATTAN,White,Pct Level 2,20.5
MANHATTAN,Asian,Pct Level 2,28.7
MANHATTAN,Black,Pct Level 2,37.0
MANHATTAN,Hispanic,Pct Level 2,39.1
MANHATTAN,Multi-Racial,Pct Level 2,21.7
MANHATTAN,Native American,Pct Level 2,32.3
MANHATTAN,White,Pct Level 2,22.2
MANHATTAN,Asian,Pct Level 2,28.3
MANHATTAN,Black,Pct Level 2,37.3
MANHATTAN,Hispanic,Pct Level 2,38.9
MANHATTAN,Multi-Racial,Pct Level 2,24.0
MANHATTAN,Native American,Pct Level 2,31.3
MANHATTAN,White,Pct Level 2,22.9
QUEENS,Asian,Pct Level 2,17.1
QUEENS,Black,Pct Level 2,30.9
QUEENS,Hispanic,Pct Level 2,29.2
QUEENS,Multi-Racial,Pct Level 2,18.7
QUEENS,Native American,Pct Level 2,26.8
QUEENS,White,Pct Level 2,20.7
QUEENS,Asian,Pct Level 2,19.6
QUEENS,Black,Pct Level 2,33.6
QUEENS,Hispanic,Pct Level 2,33.2
QUEENS,Multi-Racial,Pct Level 2,19.0
QUEENS,Native American,Pct Level 2,30.4
QUEENS,White,Pct Level 2,23.4
QUEENS,Asian,Pct Level 2,19.9
QUEENS,Black,Pct Level 2,33.0
QUEENS,Hispanic,Pct Level 2,32.1
QUEENS,Multi-Racial,Pct Level 2,18.5
QUEENS,Native American,Pct Level 2,31.5
QUEENS,White,Pct Level 2,23.4
QUEENS,Asian,Pct Level 2,20.8
QUEENS,Black,Pct Level 2,35.3
QUEENS,Hispanic,Pct Level 2,34.1
QUEENS,Multi-Racial,Pct Level 2,17.8
QUEENS,Native American,Pct Level 2,31.6
QUEENS,White,Pct Level 2,24.2
QUEENS,Asian,Pct Level 2,26.1
QUEENS,Black,Pct Level 2,39.0
QUEENS,Hispanic,Pct Level 2,37.9
QUEENS,Multi-Racial,Pct Level 2,25.2
QUEENS,Native American,Pct Level 2,36.5
QUEENS,White,Pct Level 2,28.6
QUEENS,Asian,Pct Level 2,27.8
QUEENS,Black,Pct Level 2,40.6
QUEENS,Hispanic,Pct Level 2,39.8
QUEENS,Multi-Racial,Pct Level 2,26.6
QUEENS,Native American,Pct Level 2,39.4
QUEENS,White,Pct Level 2,30.3
QUEENS,Asian,Pct Level 2,32.2
QUEENS,Black,Pct Level 2,39.9
QUEENS,Hispanic,Pct Level 2,40.6
QUEENS,Multi-Racial,Pct Level 2,30.4
QUEENS,Native American,Pct Level 2,40.8
QUEENS,White,Pct Level 2,34.7
QUEENS,Asian,Pct Level 2,33.6
QUEENS,Black,Pct Level 2,40.0
QUEENS,Hispanic,Pct Level 2,41.7
QUEENS,Multi-Racial,Pct Level 2,26.1
QUEENS,Native American,Pct Level 2,40.9
QUEENS,White,Pct Level 2,35.7
QUEENS,Asian,Pct Level 2,34.7
QUEENS,Black,Pct Level 2,40.4
QUEENS,Hispanic,Pct Level 2,41.9
QUEENS,Multi-Racial,Pct Level 2,29.4
QUEENS,Native American,Pct Level 2,39.1
QUEENS,White,Pct Level 2,37.4
STATEN ISLAND,Asian,Pct Level 2,17.8
STATEN ISLAND,Black,Pct Level 2,29.6
STATEN ISLAND,Hispanic,Pct Level 2,30.4
STATEN ISLAND,Multi-Racial,Pct Level 2,22.6
STATEN ISLAND,Native American,Pct Level 2,31.0
STATEN ISLAND,White,Pct Level 2,21.8
STATEN ISLAND,Asian,Pct Level 2,21.3
STATEN ISLAND,Black,Pct Level 2,31.8
STATEN ISLAND,Hispanic,Pct Level 2,32.6
STATEN ISLAND,Multi-Racial,Pct Level 2,25.6
STATEN ISLAND,Native American,Pct Level 2,28.0
STATEN ISLAND,White,Pct Level 2,23.2
STATEN ISLAND,Asian,Pct Level 2,20.4
STATEN ISLAND,Black,Pct Level 2,31.9
STATEN ISLAND,Hispanic,Pct Level 2,32.3
STATEN ISLAND,Multi-Racial,Pct Level 2,25.3
STATEN ISLAND,Native American,Pct Level 2,29.7
STATEN ISLAND,White,Pct Level 2,24.5
STATEN ISLAND,Asian,Pct Level 2,20.9
STATEN ISLAND,Black,Pct Level 2,35.1
STATEN ISLAND,Hispanic,Pct Level 2,34.3
STATEN ISLAND,Multi-Racial,Pct Level 2,23.2
STATEN ISLAND,Native American,Pct Level 2,26.3
STATEN ISLAND,White,Pct Level 2,25.7
STATEN ISLAND,Asian,Pct Level 2,24.8
STATEN ISLAND,Black,Pct Level 2,35.6
STATEN ISLAND,Hispanic,Pct Level 2,38.0
STATEN ISLAND,Multi-Racial,Pct Level 2,30.2
STATEN ISLAND,Native American,Pct Level 2,25.4
STATEN ISLAND,White,Pct Level 2,31.2
STATEN ISLAND,Asian,Pct Level 2,26.3
STATEN ISLAND,Black,Pct Level 2,37.8
STATEN ISLAND,Hispanic,Pct Level 2,38.9
STATEN ISLAND,Multi-Racial,Pct Level 2,33.3
STATEN ISLAND,Native American,Pct Level 2,38.5
STATEN ISLAND,White,Pct Level 2,32.6
STATEN ISLAND,Asian,Pct Level 2,30.2
STATEN ISLAND,Black,Pct Level 2,37.9
STATEN ISLAND,Hispanic,Pct Level 2,39.9
STATEN ISLAND,Multi-Racial,Pct Level 2,42.9
STATEN ISLAND,Native American,Pct Level 2,37.1
STATEN ISLAND,White,Pct Level 2,35.7
STATEN ISLAND,Asian,Pct Level 2,32.4
STATEN ISLAND,Black,Pct Level 2,37.1
STATEN ISLAND,Hispanic,Pct Level 2,40.8
STATEN ISLAND,Multi-Racial,Pct Level 2,36.9
STATEN ISLAND,Native American,Pct Level 2,34.0
STATEN ISLAND,White,Pct Level 2,39.4
STATEN ISLAND,Asian,Pct Level 2,34.7
STATEN ISLAND,Black,Pct Level 2,34.7
STATEN ISLAND,Hispanic,Pct Level 2,40.3
STATEN ISLAND,Multi-Racial,Pct Level 2,49.5
STATEN ISLAND,Native American,Pct Level 2,41.0
STATEN ISLAND,White,Pct Level 2,40.6
BRONX,Asian,Pct Level 2,21.5
BRONX,Black,Pct Level 2,29.3
BRONX,Hispanic,Pct Level 2,29.5
BRONX,Multi-Racial,Pct Level 2,23.1
BRONX,Native American,Pct Level 2,27.4
BRONX,White,Pct Level 2,23.5
BRONX,Asian,Pct Level 2,24.7
BRONX,Black,Pct Level 2,23.7
BRONX,Hispanic,Pct Level 2,25.3
BRONX,Multi-Racial,Pct Level 2,26.7
BRONX,Native American,Pct Level 2,23.9
BRONX,White,Pct Level 2,24.5
BRONX,Asian,Pct Level 2,21.9
BRONX,Black,Pct Level 2,27.4
BRONX,Hispanic,Pct Level 2,28.0
BRONX,Multi-Racial,Pct Level 2,23.7
BRONX,Native American,Pct Level 2,26.2
BRONX,White,Pct Level 2,25.1
BRONX,Asian,Pct Level 2,23.0
BRONX,Black,Pct Level 2,27.6
BRONX,Hispanic,Pct Level 2,27.7
BRONX,Multi-Racial,Pct Level 2,25.8
BRONX,Native American,Pct Level 2,26.5
BRONX,White,Pct Level 2,25.8
BRONX,Asian,Pct Level 2,26.4
BRONX,Black,Pct Level 2,30.8
BRONX,Hispanic,Pct Level 2,31.3
BRONX,Multi-Racial,Pct Level 2,31.2
BRONX,Native American,Pct Level 2,32.3
BRONX,White,Pct Level 2,32.0
BRONX,Asian,Pct Level 2,28.5
BRONX,Black,Pct Level 2,32.9
BRONX,Hispanic,Pct Level 2,33.3
BRONX,Multi-Racial,Pct Level 2,34.5
BRONX,Native American,Pct Level 2,33.4
BRONX,White,Pct Level 2,31.7
BRONX,Asian,Pct Level 2,29.6
BRONX,Black,Pct Level 2,33.0
BRONX,Hispanic,Pct Level 2,33.3
BRONX,Multi-Racial,Pct Level 2,37.2
BRONX,Native American,Pct Level 2,32.1
BRONX,White,Pct Level 2,33.1
BRONX,Asian,Pct Level 2,29.3
BRONX,Black,Pct Level 2,34.1
BRONX,Hispanic,Pct Level 2,33.8
BRONX,Multi-Racial,Pct Level 2,24.0
BRONX,Native American,Pct Level 2,32.7
BRONX,White,Pct Level 2,31.7
BRONX,Asian,Pct Level 2,30.7
BRONX,Black,Pct Level 2,33.2
BRONX,Hispanic,Pct Level 2,33.7
BRONX,Multi-Racial,Pct Level 2,31.9
BRONX,Native American,Pct Level 2,31.9
BRONX,White,Pct Level 2,36.6
BROOKLYN,Asian,Pct Level 2,13.9
BROOKLYN,Black,Pct Level 2,28.4
BROOKLYN,Hispanic,Pct Level 2,29.2
BROOKLYN,Multi-Racial,Pct Level 2,17.0
BROOKLYN,Native American,Pct Level 2,25.0
BROOKLYN,White,Pct Level 2,19.0
BROOKLYN,Asian,Pct Level 2,17.7
BROOKLYN,Black,Pct Level 2,25.7
BROOKLYN,Hispanic,Pct Level 2,26.2
BROOKLYN,Multi-Racial,Pct Level 2,20.3
BROOKLYN,Native American,Pct Level 2,21.0
BROOKLYN,White,Pct Level 2,22.1
BROOKLYN,Asian,Pct Level 2,15.3
BROOKLYN,Black,Pct Level 2,28.1
BROOKLYN,Hispanic,Pct Level 2,28.5
BROOKLYN,Multi-Racial,Pct Level 2,17.6
BROOKLYN,Native American,Pct Level 2,26.2
BROOKLYN,White,Pct Level 2,19.3
BROOKLYN,Asian,Pct Level 2,16.5
BROOKLYN,Black,Pct Level 2,28.8
BROOKLYN,Hispanic,Pct Level 2,29.0
BROOKLYN,Multi-Racial,Pct Level 2,19.4
BROOKLYN,Native American,Pct Level 2,23.1
BROOKLYN,White,Pct Level 2,20.6
BROOKLYN,Asian,Pct Level 2,20.4
BROOKLYN,Black,Pct Level 2,33.0
BROOKLYN,Hispanic,Pct Level 2,32.5
BROOKLYN,Multi-Racial,Pct Level 2,21.7
BROOKLYN,Native American,Pct Level 2,29.2
BROOKLYN,White,Pct Level 2,24.3
BROOKLYN,Asian,Pct Level 2,21.3
BROOKLYN,Black,Pct Level 2,34.3
BROOKLYN,Hispanic,Pct Level 2,35.1
BROOKLYN,Multi-Racial,Pct Level 2,22.4
BROOKLYN,Native American,Pct Level 2,34.1
BROOKLYN,White,Pct Level 2,25.4
BROOKLYN,Asian,Pct Level 2,21.9
BROOKLYN,Black,Pct Level 2,34.2
BROOKLYN,Hispanic,Pct Level 2,35.5
BROOKLYN,Multi-Racial,Pct Level 2,24.5
BROOKLYN,Native American,Pct Level 2,36.7
BROOKLYN,White,Pct Level 2,26.6
BROOKLYN,Asian,Pct Level 2,22.9
BROOKLYN,Black,Pct Level 2,34.6
BROOKLYN,Hispanic,Pct Level 2,35.7
BROOKLYN,Multi-Racial,Pct Level 2,26.9
BROOKLYN,Native American,Pct Level 2,31.4
BROOKLYN,White,Pct Level 2,27.4
BROOKLYN,Asian,Pct Level 2,26.2
BROOKLYN,Black,Pct Level 2,34.8
BROOKLYN,Hispanic,Pct Level 2,37.2
BROOKLYN,Multi-Racial,Pct Level 2,29.3
BROOKLYN,Native American,Pct Level 2,40.4
BROOKLYN,White,Pct Level 2,30.9
MANHATTAN,Asian,Pct Level 2,7.9
MANHATTAN,Black,Pct Level 2,27.8
MANHATTAN,Hispanic,Pct Level 2,28.2
MANHATTAN,Multi-Racial,Pct Level 2,10.8
MANHATTAN,Native American,Pct Level 2,23.2
MANHATTAN,White,Pct Level 2,10.6
MANHATTAN,Asian,Pct Level 2,11.7
MANHATTAN,Black,Pct Level 2,21.5
MANHATTAN,Hispanic,Pct Level 2,26.5
MANHATTAN,Multi-Racial,Pct Level 2,12.7
MANHATTAN,Native American,Pct Level 2,21.2
MANHATTAN,White,Pct Level 2,15.6
MANHATTAN,Asian,Pct Level 2,9.9
MANHATTAN,Black,Pct Level 2,27.8
MANHATTAN,Hispanic,Pct Level 2,27.7
MANHATTAN,Multi-Racial,Pct Level 2,10.6
MANHATTAN,Native American,Pct Level 2,24.1
MANHATTAN,White,Pct Level 2,10.8
MANHATTAN,Asian,Pct Level 2,11.2
MANHATTAN,Black,Pct Level 2,25.4
MANHATTAN,Hispanic,Pct Level 2,28.4
MANHATTAN,Multi-Racial,Pct Level 2,11.6
MANHATTAN,Native American,Pct Level 2,22.3
MANHATTAN,White,Pct Level 2,11.4
MANHATTAN,Asian,Pct Level 2,14.2
MANHATTAN,Black,Pct Level 2,29.0
MANHATTAN,Hispanic,Pct Level 2,32.5
MANHATTAN,Multi-Racial,Pct Level 2,14.6
MANHATTAN,Native American,Pct Level 2,26.9
MANHATTAN,White,Pct Level 2,15.3
MANHATTAN,Asian,Pct Level 2,15.1
MANHATTAN,Black,Pct Level 2,31.8
MANHATTAN,Hispanic,Pct Level 2,34.2
MANHATTAN,Multi-Racial,Pct Level 2,14.7
MANHATTAN,Native American,Pct Level 2,29.7
MANHATTAN,White,Pct Level 2,16.2
MANHATTAN,Asian,Pct Level 2,15.6
MANHATTAN,Black,Pct Level 2,32.2
MANHATTAN,Hispanic,Pct Level 2,34.9
MANHATTAN,Multi-Racial,Pct Level 2,15.4
MANHATTAN,Native American,Pct Level 2,27.2
MANHATTAN,White,Pct Level 2,16.7
MANHATTAN,Asian,Pct Level 2,16.2
MANHATTAN,Black,Pct Level 2,32.1
MANHATTAN,Hispanic,Pct Level 2,35.4
MANHATTAN,Multi-Racial,Pct Level 2,18.6
MANHATTAN,Native American,Pct Level 2,25.0
MANHATTAN,White,Pct Level 2,18.0
MANHATTAN,Asian,Pct Level 2,20.0
MANHATTAN,Black,Pct Level 2,32.5
MANHATTAN,Hispanic,Pct Level 2,36.6
MANHATTAN,Multi-Racial,Pct Level 2,21.7
MANHATTAN,Native American,Pct Level 2,26.6
MANHATTAN,White,Pct Level 2,20.6
QUEENS,Asian,Pct Level 2,14.5
QUEENS,Black,Pct Level 2,29.4
QUEENS,Hispanic,Pct Level 2,29.9
QUEENS,Multi-Racial,Pct Level 2,16.5
QUEENS,Native American,Pct Level 2,24.7
QUEENS,White,Pct Level 2,19.5
QUEENS,Asian,Pct Level 2,18.0
QUEENS,Black,Pct Level 2,27.1
QUEENS,Hispanic,Pct Level 2,27.6
QUEENS,Multi-Racial,Pct Level 2,18.0
QUEENS,Native American,Pct Level 2,26.4
QUEENS,White,Pct Level 2,24.1
QUEENS,Asian,Pct Level 2,16.1
QUEENS,Black,Pct Level 2,29.4
QUEENS,Hispanic,Pct Level 2,29.6
QUEENS,Multi-Racial,Pct Level 2,18.2
QUEENS,Native American,Pct Level 2,25.4
QUEENS,White,Pct Level 2,20.9
QUEENS,Asian,Pct Level 2,17.1
QUEENS,Black,Pct Level 2,29.2
QUEENS,Hispanic,Pct Level 2,29.8
QUEENS,Multi-Racial,Pct Level 2,16.8
QUEENS,Native American,Pct Level 2,27.6
QUEENS,White,Pct Level 2,22.3
QUEENS,Asian,Pct Level 2,21.5
QUEENS,Black,Pct Level 2,33.7
QUEENS,Hispanic,Pct Level 2,35.0
QUEENS,Multi-Racial,Pct Level 2,21.5
QUEENS,Native American,Pct Level 2,31.5
QUEENS,White,Pct Level 2,27.2
QUEENS,Asian,Pct Level 2,22.7
QUEENS,Black,Pct Level 2,35.5
QUEENS,Hispanic,Pct Level 2,37.6
QUEENS,Multi-Racial,Pct Level 2,23.1
QUEENS,Native American,Pct Level 2,34.0
QUEENS,White,Pct Level 2,29.2
QUEENS,Asian,Pct Level 2,23.2
QUEENS,Black,Pct Level 2,34.6
QUEENS,Hispanic,Pct Level 2,37.6
QUEENS,Multi-Racial,Pct Level 2,24.8
QUEENS,Native American,Pct Level 2,33.3
QUEENS,White,Pct Level 2,29.8
QUEENS,Asian,Pct Level 2,23.4
QUEENS,Black,Pct Level 2,35.6
QUEENS,Hispanic,Pct Level 2,37.9
QUEENS,Multi-Racial,Pct Level 2,21.8
QUEENS,Native American,Pct Level 2,34.9
QUEENS,White,Pct Level 2,30.4
QUEENS,Asian,Pct Level 2,27.4
QUEENS,Black,Pct Level 2,36.0
QUEENS,Hispanic,Pct Level 2,39.7
QUEENS,Multi-Racial,Pct Level 2,25.8
QUEENS,Native American,Pct Level 2,35.3
QUEENS,White,Pct Level 2,33.8
STATEN ISLAND,Asian,Pct Level 2,13.6
STATEN ISLAND,Black,Pct Level 2,25.2
STATEN ISLAND,Hispanic,Pct Level 2,28.9
STATEN ISLAND,Multi-Racial,Pct Level 2,21.9
STATEN ISLAND,Native American,Pct Level 2,22.7
STATEN ISLAND,White,Pct Level 2,19.6
STATEN ISLAND,Asian,Pct Level 2,18.7
STATEN ISLAND,Black,Pct Level 2,22.6
STATEN ISLAND,Hispanic,Pct Level 2,28.0
STATEN ISLAND,Multi-Racial,Pct Level 2,23.2
STATEN ISLAND,Native American,Pct Level 2,21.5
STATEN ISLAND,White,Pct Level 2,25.9
STATEN ISLAND,Asian,Pct Level 2,16.4
STATEN ISLAND,Black,Pct Level 2,27.7
STATEN ISLAND,Hispanic,Pct Level 2,29.0
STATEN ISLAND,Multi-Racial,Pct Level 2,22.9
STATEN ISLAND,Native American,Pct Level 2,26.9
STATEN ISLAND,White,Pct Level 2,22.9
STATEN ISLAND,Asian,Pct Level 2,16.9
STATEN ISLAND,Black,Pct Level 2,27.7
STATEN ISLAND,Hispanic,Pct Level 2,29.0
STATEN ISLAND,Multi-Racial,Pct Level 2,24.9
STATEN ISLAND,Native American,Pct Level 2,25.9
STATEN ISLAND,White,Pct Level 2,24.5
STATEN ISLAND,Asian,Pct Level 2,19.8
STATEN ISLAND,Black,Pct Level 2,31.2
STATEN ISLAND,Hispanic,Pct Level 2,33.7
STATEN ISLAND,Multi-Racial,Pct Level 2,30.2
STATEN ISLAND,Native American,Pct Level 2,30.4
STATEN ISLAND,White,Pct Level 2,30.4
STATEN ISLAND,Asian,Pct Level 2,21.8
STATEN ISLAND,Black,Pct Level 2,31.6
STATEN ISLAND,Hispanic,Pct Level 2,36.0
STATEN ISLAND,Multi-Racial,Pct Level 2,28.7
STATEN ISLAND,Native American,Pct Level 2,36.4
STATEN ISLAND,White,Pct Level 2,32.5
STATEN ISLAND,Asian,Pct Level 2,23.0
STATEN ISLAND,Black,Pct Level 2,33.4
STATEN ISLAND,Hispanic,Pct Level 2,36.1
STATEN ISLAND,Multi-Racial,Pct Level 2,35.2
STATEN ISLAND,Native American,Pct Level 2,36.2
STATEN ISLAND,White,Pct Level 2,34.4
STATEN ISLAND,Asian,Pct Level 2,21.4
STATEN ISLAND,Black,Pct Level 2,32.5
STATEN ISLAND,Hispanic,Pct Level 2,36.4
STATEN ISLAND,Multi-Racial,Pct Level 2,27.8
STATEN ISLAND,Native American,Pct Level 2,36.1
STATEN ISLAND,White,Pct Level 2,34.4
STATEN ISLAND,Asian,Pct Level 2,26.7
STATEN ISLAND,Black,Pct Level 2,30.7
STATEN ISLAND,Hispanic,Pct Level 2,37.6
