District,Borough,Year,Present,Absent,Enrolled,Attendance Rate
11,X,2020,552123.0,62378.0,614516.0,0.8984680626704593
11,X,2020,525655.0,53745.0,579412.0,0.907221458996362
11,X,2020,590788.0,56478.0,647275.0,0.9127310648487892
11,X,2020,428541.0,38914.0,467457.0,0.916749561991798
11,X,2020,623052.0,55884.0,678938.0,0.9176861510182078
11,X,2020,619844.0,58381.0,678295.0,0.9138265798804356
11,X,2020,583900.0,60422.0,644332.0,0.9062098421310752
11,X,2020,493338.0,82284.0,580026.0,0.8505446307579315
12,X,2018,283378.0,31988.0,315374.0,0.898545853494581
12,X,2018,423029.0,41552.0,464610.0,0.910503432986806
12,X,2018,336617.0,42678.0,379319.0,0.8874245687666581
12,X,2018,282304.0,33387.0,315709.0,0.8941905362216471
12,X,2018,361550.0,52992.0,419754.0,0.8613378312058968
12,X,2018,263750.0,30904.0,295257.0,0.8932895748449655
12,X,2018,375784.0,44018.0,419952.0,0.8948260753609937
12,X,2018,303054.0,33178.0,336368.0,0.9009596632259906
12,X,2018,412044.0,49935.0,462551.0,0.8908077163383065
12,X,2018,235976.0,50321.0,295064.0,0.7997451400374156
12,X,2019,312048.0,28008.0,340142.0,0.917405083759136
12,X,2019,368908.0,33149.0,402136.0,0.9173712375912628
12,X,2019,309736.0,32014.0,341953.0,0.9057852979795468
12,X,2019,268823.0,32587.0,301497.0,0.891627445712561
12,X,2019,351912.0,44549.0,404027.0,0.871011095793103
12,X,2019,271624.0,28903.0,301524.0,0.9008370809620462
12,X,2019,171804.0,27709.0,201147.0,0.8541216125520142
12,X,2020,148698.0,35179.0,183877.0,0.8086818906116588
12,X,2020,335912.0,53215.0,389128.0,0.8632429431960692
12,X,2020,291514.0,43327.0,334867.0,0.8705366608235509
12,X,2020,280336.0,35729.0,316078.0,0.8869203171369092
12,X,2020,315478.0,37498.0,352986.0,0.8937408282481458
12,X,2020,227453.0,25983.0,253441.0,0.8974593692417565
12,X,2020,334882.0,35372.0,370275.0,0.9044142866788198
12,X,2020,332561.0,37972.0,370547.0,0.8974866885982075
12,X,2020,316570.0,35995.0,352574.0,0.897882430355046
12,X,2020,275057.0,41260.0,320328.0,0.8586729851901801
13,K,2018,293102.0,21613.0,314730.0,0.9312807803514124
13,K,2018,430490.0,29792.0,460412.0,0.935010382005682
13,K,2018,344826.0,30630.0,375581.0,0.918113536094744
13,K,2018,287124.0,25432.0,312618.0,0.9184499932825364
13,K,2018,342234.0,36839.0,381410.0,0.8972863847303427
13,K,2018,264400.0,25365.0,290281.0,0.91084156386398
13,K,2018,372504.0,34862.0,414125.0,0.8994965288258376
13,K,2018,302715.0,27954.0,330911.0,0.914792799272312
13,K,2018,406737.0,41403.0,448378.0,0.9071296986025184
13,K,2018,205553.0,37299.0,246183.0,0.83496017190464
13,K,2019,332071.0,20854.0,352994.0,0.9407270378533348
13,K,2019,389430.0,24542.0,414005.0,0.940640813516745
13,K,2019,325198.0,26346.0,351954.0,0.923978701762162
13,K,2019,280467.0,29270.0,309821.0,0.9052549698051456
13,K,2019,341632.0,34265.0,378010.0,0.903764450675908
13,K,2019,283399.0,25010.0,308693.0,0.9180609861577684
13,K,2019,178109.0,26282.0,205833.0,0.8653082839000549
13,K,2020,179532.0,23193.0,202725.0,0.8855937846836848
13,K,2020,385619.0,36944.0,422563.0,0.9125716165400188
13,K,2020,329800.0,31536.0,361336.0,0.9127238913365952
13,K,2020,310423.0,29995.0,340421.0,0.9118797018985316
13,K,2020,344666.0,35007.0,379675.0,0.9077921906894054
13,K,2020,240989.0,25140.0,266140.0,0.905497106785902
13,K,2020,354323.0,42434.0,396758.0,0.8930456348706264
13,K,2020,353753.0,42834.0,396594.0,0.8919776900306107
13,K,2020,339145.0,37519.0,376678.0,0.900357865338565
13,K,2020,311191.0,33642.0,346581.0,0.8978882281486867
14,K,2018,245854.0,20423.0,266328.0,0.9231248685831004
14,K,2018,361028.0,28685.0,389854.0,0.9260594991971354
14,K,2018,289001.0,29024.0,318165.0,0.9083368692345168
14,K,2018,239541.0,24970.0,264605.0,0.9052776780484116
14,K,2018,301383.0,39605.0,344991.0,0.8735967025226745
14,K,2018,222316.0,23528.0,246389.0,0.902296774612503
14,K,2018,317618.0,32977.0,351476.0,0.9036690983168124
14,K,2018,254546.0,26074.0,280802.0,0.906496392475837
14,K,2018,345163.0,40018.0,385406.0,0.8955828399142722
14,K,2018,195813.0,34176.0,235270.0,0.8322905597823776
14,K,2019,275338.0,21415.0,296850.0,0.9275324237830554
14,K,2019,322075.0,26369.0,348489.0,0.9242042073064
14,K,2019,267518.0,27726.0,295555.0,0.9051377916123904
14,K,2019,234074.0,26102.0,260235.0,0.8994716314100717
14,K,2019,298779.0,35670.0,337843.0,0.8843723267908467
14,K,2019,233999.0,25274.0,259326.0,0.9023352845453212
14,K,2019,147423.0,23756.0,172946.0,0.8524221433279752
14,K,2020,144117.0,23978.0,168095.0,0.8573544721734734
14,K,2020,312585.0,37974.0,350560.0,0.891673322683706
14,K,2020,266942.0,31852.0,298795.0,0.8933951371341555
14,K,2020,252743.0,29251.0,281996.0,0.8962644860210783
14,K,2020,278072.0,33934.0,312006.0,0.8912392710396595
14,K,2020,201166.0,21348.0,222515.0,0.9040559063433926
14,K,2020,294883.0,31561.0,326447.0,0.903310491442715
14,K,2020,293215.0,33395.0,326616.0,0.8977361794890636
14,K,2020,275841.0,32042.0,307890.0,0.8959076293481438
14,K,2020,233132.0,45047.0,280862.0,0.8300588901310965
15,K,2018,448037.0,25372.0,473410.0,0.946403751505038
15,K,2018,656967.0,35702.0,692853.0,0.948205463496586
15,K,2018,527353.0,37870.0,565380.0,0.9327408114896176
15,K,2018,436132.0,34286.0,470522.0,0.9269109627180026
15,K,2018,574746.0,49730.0,631724.0,0.9098055479924776
15,K,2018,403881.0,32839.0,437285.0,0.9236104599974844
15,K,2018,580198.0,43894.0,624267.0,0.9294068083047798
15,K,2018,462925.0,34695.0,497816.0,0.9299118549825638
15,K,2018,636526.0,48726.0,685501.0,0.9285559029089672
15,K,2018,383979.0,42904.0,436920.0,0.8788313650096128
15,K,2019,500432.0,28931.0,529384.0,0.945310020703308
15,K,2019,588244.0,33492.0,621769.0,0.9460812616904348
15,K,2019,491034.0,36072.0,527487.0,0.9308930836210182
15,K,2019,428082.0,36493.0,464683.0,0.9212344759760956
15,K,2019,565900.0,51258.0,621642.0,0.9103310265393908
15,K,2019,427030.0,35317.0,462719.0,0.9228711161633736
15,K,2019,271962.0,35382.0,308498.0,0.8815681138937692
15,K,2020,270258.0,29150.0,299408.0,0.9026412119916636
15,K,2020,579125.0,49358.0,628483.0,0.9214648606247106
15,K,2020,495495.0,42719.0,538218.0,0.920621383900204
15,K,2020,467451.0,40629.0,508080.0,0.9200342465753424
15,K,2020,517273.0,48753.0,566027.0,0.9138662996641504
15,K,2020,376223.0,33024.0,409260.0,0.9192762547036114
15,K,2020,542102.0,51887.0,593993.0,0.9126403846509976
15,K,2020,539333.0,53398.0,592734.0,0.9099073108679442
15,K,2020,509970.0,52377.0,562348.0,0.9068583866218072
15,K,2020,427209.0,66206.0,506194.0,0.8439629865229537
16,K,2018,79766.0,10699.0,90476.0,0.8816260665811928
16,K,2018,118493.0,14908.0,133432.0,0.8880403501408958
16,K,2018,93874.0,15609.0,109531.0,0.8570541673133634
16,K,2018,79260.0,12213.0,91522.0,0.8660212844999017
16,K,2018,101814.0,18051.0,119935.0,0.8489098261558344
16,K,2018,73561.0,11496.0,85124.0,0.8641628682862648
16,K,2018,104839.0,16399.0,121350.0,0.8639390193654718
16,K,2018,83938.0,13239.0,97204.0,0.8635241348092672
16,K,2018,113740.0,19685.0,133549.0,0.851672419860875
16,K,2018,64075.0,17392.0,81536.0,0.7858491954474097
16,K,2019,90636.0,11281.0,101950.0,0.8890240313879353
16,K,2019,106667.0,13945.0,120663.0,0.8840075250905415
16,K,2019,87828.0,14646.0,102620.0,0.8558565581757942
16,K,2019,76081.0,14166.0,90270.0,0.8428159964550792
16,K,2019,100494.0,17173.0,117717.0,0.8536914804148934
16,K,2019,76999.0,12678.0,89779.0,0.8576504527784894
16,K,2019,48680.0,10854.0,59720.0,0.8151373074346953
16,K,2020,47086.0,9666.0,56763.0,0.8295192290752779
16,K,2020,104277.0,17065.0,121342.0,0.8593644410014669
16,K,2020,91435.0,12896.0,104333.0,0.8763766018421784
16,K,2020,86714.0,11824.0,98538.0,0.880005683086728
16,K,2020,96695.0,13275.0,109970.0,0.879285259616259
16,K,2020,69130.0,10128.0,79259.0,0.8722037875824827
16,K,2020,99706.0,14746.0,114452.0,0.8711599622549191
16,K,2020,101062.0,13233.0,114299.0,0.88418971294587
16,K,2020,96095.0,12760.0,108856.0,0.8827717351363269
16,K,2020,83170.0,14719.0,97891.0,0.8496184531775137
17,K,2018,279279.0,25411.0,306308.0,0.9117587526280736
17,K,2018,415040.0,31296.0,448766.0,0.9248472477861512
17,K,2018,332851.0,32315.0,367163.0,0.906548317777118
17,K,2018,276399.0,27829.0,305865.0,0.9036633809033398
17,K,2018,347194.0,42862.0,399481.0,0.8691126736941182
17,K,2018,259332.0,25172.0,285717.0,0.9076533772929156
17,K,2018,371757.0,35269.0,408564.0,0.9099112990865568
17,K,2018,297370.0,27896.0,326597.0,0.9105105068325796
17,K,2018,403207.0,43835.0,448792.0,0.8984273338205672
17,K,2018,220304.0,42366.0,275860.0,0.7986079895599217
17,K,2019,313405.0,24571.0,338060.0,0.9270691593208308
17,K,2019,368171.0,28855.0,397170.0,0.9269859254223632
17,K,2019,307210.0,29951.0,337340.0,0.9106835833283928
17,K,2019,267357.0,29614.0,297161.0,0.8997042007531271
17,K,2019,338829.0,39451.0,386378.0,0.8769365750637976
17,K,2019,269467.0,28065.0,297648.0,0.9053210503682202
17,K,2019,170384.0,25581.0,198216.0,0.8595875206845058
17,K,2020,159480.0,29670.0,189152.0,0.8431314498392827
17,K,2020,344082.0,54405.0,398487.0,0.8634710793576704
17,K,2020,296512.0,45566.0,342082.0,0.8667863260855584
17,K,2020,279670.0,42799.0,322469.0,0.8672771646266773
17,K,2020,313748.0,46037.0,359787.0,0.872038178144291
17,K,2020,224432.0,31756.0,256190.0,0.8760373160544908
17,K,2020,333035.0,44853.0,377889.0,0.8813037690962161
17,K,2020,330281.0,47531.0,377819.0,0.874177847064335
17,K,2020,311199.0,47593.0,358941.0,0.8669920683343502
17,K,2020,266064.0,57947.0,326905.0,0.813887826738655
18,K,2018,191672.0,18337.0,210033.0,0.9125804040317472
18,K,2018,285239.0,23359.0,308637.0,0.9241892579308378
18,K,2018,227355.0,24250.0,251696.0,0.9032920666200496
18,K,2018,189235.0,20130.0,209437.0,0.9035413990842116
18,K,2018,241964.0,31380.0,273480.0,0.884759397396519
18,K,2018,176472.0,18070.0,194872.0,0.905579046758898
18,K,2018,252074.0,25994.0,278518.0,0.9050546104740088
18,K,2018,202443.0,20515.0,223025.0,0.9077143817957628
18,K,2018,274453.0,31874.0,306496.0,0.8954537742743788
18,K,2018,152051.0,33582.0,185811.0,0.8183100031752695
18,K,2019,202994.0,17606.0,220629.0,0.9200694378345547
18,K,2019,239601.0,20509.0,260157.0,0.9209861737335532
18,K,2019,199640.0,21426.0,221237.0,0.9023807048549746
18,K,2019,173382.0,21804.0,195247.0,0.8880136442557376
18,K,2019,228429.0,27563.0,256127.0,0.8918583359036728
18,K,2019,176624.0,19220.0,195921.0,0.9015062193435108
18,K,2019,112060.0,17818.0,130547.0,0.8583881667139038
18,K,2020,93738.0,24114.0,117854.0,0.7953739372443871
18,K,2020,209323.0,39026.0,248350.0,0.8428548419569156
18,K,2020,178971.0,33958.0,212930.0,0.8405156624242709
18,K,2020,170567.0,30477.0,201044.0,0.8484063190147431
18,K,2020,192735.0,31983.0,224720.0,0.8576673193307227
18,K,2020,139467.0,21177.0,160651.0,0.8681365195361374
18,K,2020,203353.0,30141.0,233517.0,0.8708273915817693
18,K,2020,203310.0,29734.0,233044.0,0.8724103602753128
18,K,2020,193458.0,28107.0,221566.0,0.8731393805908849
18,K,2020,163911.0,34249.0,198574.0,0.8254403899805614
19,K,2018,278585.0,30671.0,309296.0,0.9007067663338679
19,K,2018,416490.0,38051.0,454651.0,0.9160652896397457
19,K,2018,333641.0,38044.0,371760.0,0.8974634172584464
19,K,2018,278530.0,31304.0,309906.0,0.8987563971010565
19,K,2018,355825.0,52340.0,413137.0,0.8612760416036327
19,K,2018,258296.0,30288.0,288993.0,0.8937794341039402
19,K,2018,369684.0,42614.0,412602.0,0.8959820844300318
19,K,2018,296820.0,32624.0,329653.0,0.900401331096638
19,K,2018,404147.0,48747.0,453176.0,0.8918102459088743
19,K,2018,228242.0,50821.0,286123.0,0.7977058817361764
19,K,2019,316124.0,31973.0,348131.0,0.9080604714891808
19,K,2019,374204.0,35384.0,409627.0,0.9135237667438914
19,K,2019,312764.0,35128.0,348304.0,0.8979626992512288
19,K,2019,271581.0,35473.0,307119.0,0.884285895695154
19,K,2019,353767.0,48506.0,406209.0,0.8708989707268918
19,K,2019,274466.0,31373.0,305963.0,0.8970561799956204
19,K,2019,174226.0,28755.0,203979.0,0.8541369454698768
19,K,2020,151976.0,40933.0,192919.0,0.7877710334389044
19,K,2020,350203.0,57341.0,407545.0,0.8592989731195328
19,K,2020,307309.0,41671.0,348980.0,0.8805920110034959
19,K,2020,294424.0,34690.0,329114.0,0.8945957935548169
19,K,2020,328882.0,38409.0,367293.0,0.8954213665928836
19,K,2020,236571.0,26446.0,263018.0,0.8994479465283745
19,K,2020,346983.0,37042.0,384025.0,0.903542738102988
19,K,2020,345345.0,38854.0,384210.0,0.8988443819786055
19,K,2020,328625.0,36403.0,365036.0,0.9002536736102741
19,K,2020,281833.0,48112.0,331371.0,0.8505059284004937
20,K,2018,707210.0,38835.0,746069.0,0.947915005180486
20,K,2018,1042751.0,51296.0,1094135.0,0.953036873877538
20,K,2018,849284.0,45312.0,894712.0,0.9492261196899114
20,K,2018,702619.0,42272.0,745009.0,0.9431013585070784
20,K,2018,916040.0,63493.0,981010.0,0.9337723366734284
20,K,2018,652967.0,41411.0,694760.0,0.9398454142437676
20,K,2018,931024.0,54627.0,989052.0,0.9413296773071588
20,K,2018,752602.0,41969.0,794764.0,0.9469502896457314
20,K,2018,1029148.0,63904.0,1093308.0,0.9413157134128718
20,K,2018,609483.0,56551.0,668628.0,0.9115427412552272
20,K,2019,801500.0,45005.0,846544.0,0.9467907161352512
20,K,2019,947513.0,48388.0,995967.0,0.9513497937180648
20,K,2019,803332.0,42604.0,846154.0,0.9493921910196016
20,K,2019,699869.0,46241.0,746220.0,0.9378856101417812
20,K,2019,912985.0,66951.0,999942.0,0.9130379562014596
20,K,2019,700216.0,45294.0,745723.0,0.9389760004720252
20,K,2019,437154.0,54680.0,497365.0,0.8789400138731113
20,K,2020,431801.0,63492.0,495293.0,0.8718092119210246
20,K,2020,954416.0,88406.0,1042822.0,0.9152242664615822
20,K,2020,824601.0,68992.0,893593.0,0.9227925912579888
20,K,2020,784194.0,58800.0,843005.0,0.9302364754657446
20,K,2020,875965.0,64870.0,940836.0,0.9310496196999264
20,K,2020,635591.0,42414.0,678011.0,0.9374346433907416
20,K,2020,915257.0,71363.0,986622.0,0.9276673335887504
20,K,2020,910980.0,75386.0,986368.0,0.9235701077082792
20,K,2020,860002.0,77453.0,937457.0,0.9173775437166718
20,K,2020,729585.0,93401.0,848201.0,0.8601557885454038
21,K,2018,483865.0,36517.0,520425.0,0.9297497237834462
21,K,2018,716597.0,46389.0,763261.0,0.9388623288757056
21,K,2018,577765.0,45615.0,623527.0,0.92660782933217
21,K,2018,479502.0,39432.0,519027.0,0.9238478923061806
21,K,2018,608547.0,61648.0,675576.0,0.9007824434260542
21,K,2018,442583.0,40300.0,483468.0,0.9154339066908256
21,K,2018,629756.0,52840.0,688543.0,0.914621163819834
21,K,2018,510294.0,41462.0,552079.0,0.9243133681954938
21,K,2018,695399.0,62375.0,758499.0,0.9168093827414406
21,K,2018,389565.0,59854.0,456678.0,0.8530408734381775
21,K,2019,552959.0,35729.0,588760.0,0.9391925402540934
21,K,2019,653098.0,40421.0,693591.0,0.9416183312643908
21,K,2019,548482.0,41156.0,589941.0,0.9297234808226584
21,K,2019,477600.0,42502.0,520195.0,0.9181172444948528
21,K,2019,612100.0,59788.0,676023.0,0.9054425663032176
21,K,2019,477369.0,41244.0,518835.0,0.9200786377171932
21,K,2019,298658.0,42407.0,345759.0,0.863775057193016
21,K,2020,283485.0,55968.0,339454.0,0.8351205170656407
21,K,2020,637268.0,79912.0,717181.0,0.8885734563520227
21,K,2020,546473.0,67554.0,614036.0,0.8899689920460689
21,K,2020,515663.0,63295.0,578960.0,0.8906712035373774
21,K,2020,570919.0,74753.0,645699.0,0.8841875239081987
21,K,2020,416424.0,45791.0,462216.0,0.900929435588556
21,K,2020,604112.0,71777.0,675910.0,0.8937757985530618
21,K,2020,602954.0,72004.0,674969.0,0.8933062111000654
21,K,2020,569586.0,71733.0,641327.0,0.8881366292078768
21,K,2020,473829.0,87421.0,580808.0,0.8158100439387888
22,K,2018,475474.0,28944.0,504442.0,0.9425741710642652
22,K,2018,704982.0,34902.0,740116.0,0.952529063011744
22,K,2018,568141.0,37009.0,605320.0,0.9385795942641908
22,K,2018,472475.0,31433.0,504115.0,0.9372365432490602
22,K,2018,601104.0,53417.0,656043.0,0.9162570136408742
22,K,2018,437141.0,31729.0,469551.0,0.9309766138289558
22,K,2018,622897.0,41623.0,669045.0,0.9310240716244796
22,K,2018,502285.0,32812.0,535452.0,0.9380579398340094
22,K,2018,687833.0,47351.0,735714.0,0.9349190038520404
22,K,2018,387645.0,52520.0,440359.0,0.880293124473441
